epoch,loss
1,234515851116544.0
2,139579122253824.0
3,81962798678016.0
4,48148839923712.0
5,28715580915712.0
6,17673329049600.0
7,11451321286656.0
8,8000993492992.0
9,6167137353728.0
10,5297711611904.0
11,5017447694336.0
12,5100959956992.0
13,5402892697600.0
14,5820181381120.0
15,6273027276800.0
16,6697432645632.0
17,7044179951616.0
18,7279621439488.0
19,7385875742720.0
20,7359561203712.0
21,7209230532608.0
22,6951884292096.0
23,6609379000320.0
24,6205152428032.0
25,5761772027904.0
26,5299344769024.0
27,4834709209088.0
28,4381205856256.0
29,3948819775488.0
30,3544481267712.0
31,3172496834560.0
32,2835003211776.0
33,2532406460416.0
34,2263815028736.0
35,2027425366016.0
36,1820853665792.0
37,1641396436992.0
38,1486239039488.0
39,1352608907264.0
40,1237876867072.0
41,1139614023680.0
42,1055625707520.0
43,983960911872.0
44,922903379968.0
45,870955352064.0
46,826820001792.0
47,789373452288.0
48,757643476992.0
49,730788659200.0
50,708079058944.0
51,688879304704.0
52,672637386752.0
53,658870566912.0
54,647159873536.0
55,637142368256.0
56,628504068096.0
57,620977127424.0
58,614335184896.0
59,608388120576.0
60,602979762176.0
61,597982773248.0
62,593294721024.0
63,588834930688.0
64,584540225536.0
65,580362174464.0
66,576263421952.0
67,572215459840.0
68,568196988928.0
69,564192018432.0
70,560188948480.0
71,556179652608.0
72,552159084544.0
73,548124721152.0
74,544076267520.0
75,540015853568.0
76,535946952704.0
77,531874938880.0
78,527805448192.0
79,523745361920.0
80,519701790720.0
81,515681583104.0
82,511691128832.0
83,507736457216.0
84,503822352384.0
85,499953860608.0
86,496133668864.0
87,492364693504.0
88,488648933376.0
89,484987437056.0
90,481381548032.0
91,477830971392.0
92,474336362496.0
93,470897131520.0
94,467513114624.0
95,464183689216.0
96,460907970560.0
97,457685041152.0
98,454513852416.0
99,451392798720.0
100,448321093632.0
101,445296738304.0
102,442317930496.0
103,439383425024.0
104,436491157504.0
105,433639653376.0
106,430826815488.0
107,428051333120.0
108,425311567872.0
109,422605750272.0
110,419932700672.0
111,417291108352.0
112,414679728128.0
113,412097380352.0
114,409542918144.0
115,407015456768.0
116,404514013184.0
117,402037800960.0
118,399585902592.0
119,397157761024.0
120,394752458752.0
121,392369405952.0
122,390008242176.0
123,387668017152.0
124,385348599808.0
125,383049400320.0
126,380769992704.0
127,378510049280.0
128,376269209600.0
129,374047178752.0
130,371843858432.0
131,369658789888.0
132,367491710976.0
133,365342425088.0
134,363210899456.0
135,361096806400.0
136,358999851008.0
137,356920033280.0
138,354857123840.0
139,352810827776.0
140,350781112320.0
141,348767879168.0
142,346770931712.0
143,344789942272.0
144,342824812544.0
145,340875706368.0
146,338942099456.0
147,337024090112.0
148,335121416192.0
149,333234077696.0
150,331361746944.0
