x0,x1,min_eig
5.789473684210526550e-01,-1.000000000000000000e+00,-1.077114939689636230e+00
6.842105263157893802e-01,-1.000000000000000000e+00,-1.665962219238281250e+00
4.736842105263157077e-01,-8.947368421052631637e-01,-1.184676587581634521e-01
6.842105263157893802e-01,-8.947368421052631637e-01,-1.947090774774551392e-01
1.578947368421053099e-01,-5.789473684210526550e-01,-1.095701474696397781e-02
5.789473684210526550e-01,-5.789473684210526550e-01,-5.295072793960571289e-01
5.789473684210526550e-01,-4.736842105263158187e-01,-1.157067641615867615e-01
4.736842105263157077e-01,-3.684210526315789824e-01,-6.305310130119323730e-02
