x0,x1,min_eig
-1.000000000000000000e+00,-1.000000000000000000e+00,-2.871200442314147949e-01
-8.947368421052631637e-01,-1.000000000000000000e+00,-2.889079451560974121e-01
-7.894736842105263275e-01,-1.000000000000000000e+00,-2.900608777999877930e-01
-6.842105263157894912e-01,-1.000000000000000000e+00,-2.906332314014434814e-01
-5.789473684210526550e-01,-1.000000000000000000e+00,-2.906757295131683350e-01
-4.736842105263158187e-01,-1.000000000000000000e+00,-2.903218865394592285e-01
-3.684210526315789824e-01,-1.000000000000000000e+00,-2.898496985435485840e-01
-2.631578947368421462e-01,-1.000000000000000000e+00,-2.895689308643341064e-01
-1.578947368421053099e-01,-1.000000000000000000e+00,-2.893550992012023926e-01
-5.263157894736847364e-02,-1.000000000000000000e+00,-2.890986502170562744e-01
5.263157894736836262e-02,-1.000000000000000000e+00,-2.888340055942535400e-01
1.578947368421053099e-01,-1.000000000000000000e+00,-2.891025543212890625e-01
2.631578947368420351e-01,-1.000000000000000000e+00,-2.897652685642242432e-01
3.684210526315787604e-01,-1.000000000000000000e+00,-2.904368638992309570e-01
4.736842105263157077e-01,-1.000000000000000000e+00,-2.909007966518402100e-01
5.789473684210526550e-01,-1.000000000000000000e+00,-2.909578979015350342e-01
6.842105263157893802e-01,-1.000000000000000000e+00,-2.904709577560424805e-01
7.894736842105261054e-01,-1.000000000000000000e+00,-2.894161939620971680e-01
8.947368421052630527e-01,-1.000000000000000000e+00,-2.878743410110473633e-01
1.000000000000000000e+00,-1.000000000000000000e+00,-2.859319448471069336e-01
-1.000000000000000000e+00,-8.947368421052631637e-01,-2.879517972469329834e-01
-8.947368421052631637e-01,-8.947368421052631637e-01,-2.893926203250885010e-01
-7.894736842105263275e-01,-8.947368421052631637e-01,-2.904260158538818359e-01
-6.842105263157894912e-01,-8.947368421052631637e-01,-2.910545170307159424e-01
-5.789473684210526550e-01,-8.947368421052631637e-01,-2.911168038845062256e-01
-4.736842105263158187e-01,-8.947368421052631637e-01,-2.907333672046661377e-01
-3.684210526315789824e-01,-8.947368421052631637e-01,-2.903263866901397705e-01
-2.631578947368421462e-01,-8.947368421052631637e-01,-2.900665700435638428e-01
-1.578947368421053099e-01,-8.947368421052631637e-01,-2.898583710193634033e-01
-5.263157894736847364e-02,-8.947368421052631637e-01,-2.896850407123565674e-01
5.263157894736836262e-02,-8.947368421052631637e-01,-2.895511686801910400e-01
1.578947368421053099e-01,-8.947368421052631637e-01,-2.894777059555053711e-01
2.631578947368420351e-01,-8.947368421052631637e-01,-2.898413836956024170e-01
3.684210526315787604e-01,-8.947368421052631637e-01,-2.905604541301727295e-01
4.736842105263157077e-01,-8.947368421052631637e-01,-2.911288440227508545e-01
5.789473684210526550e-01,-8.947368421052631637e-01,-2.913075387477874756e-01
6.842105263157893802e-01,-8.947368421052631637e-01,-2.909232079982757568e-01
7.894736842105261054e-01,-8.947368421052631637e-01,-2.899762988090515137e-01
8.947368421052630527e-01,-8.947368421052631637e-01,-2.886891365051269531e-01
1.000000000000000000e+00,-8.947368421052631637e-01,-2.872287034988403320e-01
-1.000000000000000000e+00,-7.894736842105263275e-01,-2.886603772640228271e-01
-8.947368421052631637e-01,-7.894736842105263275e-01,-2.896911203861236572e-01
-7.894736842105263275e-01,-7.894736842105263275e-01,-2.907395958900451660e-01
-6.842105263157894912e-01,-7.894736842105263275e-01,-2.915001213550567627e-01
