epoch,loss
1,3173.30615234375
2,2861.193603515625
3,2592.100341796875
4,2358.453369140625
5,2154.03125
6,1973.8177490234375
7,1813.8316650390625
8,1670.9361572265625
9,1542.659423828125
10,1427.0328369140625
11,1322.4691162109375
12,1227.663330078125
13,1141.525634765625
14,1063.1279296875
15,991.6691284179688
16,926.4508666992188
17,866.8563842773438
18,812.3386840820312
19,762.4100952148438
20,716.6332397460938
21,674.6162109375
22,636.006591796875
23,600.4873657226562
24,567.7723388671875
25,537.6043701171875
26,509.7510681152344
27,484.0030212402344
28,460.1711730957031
29,438.0850830078125
30,417.59051513671875
31,398.54815673828125
32,380.83221435546875
33,364.3288879394531
34,348.9349670410156
35,334.5574645996094
36,321.111572265625
37,308.5207214355469
38,296.7154235839844
39,285.6324462890625
40,275.21435546875
41,265.4089660644531
42,256.1690368652344
43,247.45103454589844
44,239.21546936035156
45,231.42657470703125
46,224.05136108398438
47,217.05990600585938
48,210.4246063232422
49,204.1204376220703
50,198.12429809570312
51,192.4150848388672
52,186.97340393066406
53,181.78147888183594
54,176.82281494140625
55,172.08251953125
56,167.54664611816406
57,163.20233154296875
58,159.03781127929688
59,155.042236328125
60,151.2054901123047
61,147.51824951171875
62,143.971923828125
63,140.5584716796875
64,137.27056884765625
65,134.1012725830078
66,131.0441436767578
67,128.09327697753906
68,125.24311828613281
69,122.48856353759766
70,119.82476806640625
71,117.24722290039062
72,114.75178527832031
73,112.33448028564453
74,109.99166870117188
75,107.71990966796875
76,105.5159912109375
77,103.37686157226562
78,101.29972839355469
79,99.28185272216797
80,97.32081604003906
81,95.41414642333984
82,93.5596923828125
83,91.75535583496094
84,89.99911499023438
85,88.28909301757812
86,86.62355041503906
87,85.00080871582031
88,83.4192123413086
89,81.87733459472656
90,80.37367248535156
91,78.90692901611328
92,77.47578430175781
93,76.07901763916016
94,74.71544647216797
95,73.38397979736328
96,72.08356475830078
97,70.81317138671875
98,69.57178497314453
99,68.3585433959961
100,67.17257690429688
101,66.01299285888672
102,64.87902069091797
103,63.769866943359375
104,62.684783935546875
105,61.623077392578125
106,60.584068298339844
107,59.56709289550781
108,58.57149124145508
109,57.59672927856445
110,56.642181396484375
111,55.70729446411133
112,54.791534423828125
113,53.89436340332031
114,53.01529312133789
115,52.15386199951172
116,51.30958938598633
117,50.482017517089844
118,49.67074203491211
119,48.87531661987305
120,48.09535598754883
121,47.330467224121094
122,46.58026885986328
123,45.844398498535156
124,45.122501373291016
125,44.414249420166016
126,43.71931076049805
