x0,x1,min_eig
3.684210526315787604e-01,-1.000000000000000000e+00,-1.875265985727310181e-01
4.736842105263157077e-01,-1.000000000000000000e+00,-5.283167362213134766e-01
5.789473684210526550e-01,-1.000000000000000000e+00,-5.127221345901489258e-01
6.842105263157893802e-01,-1.000000000000000000e+00,-1.376071721315383911e-01
3.684210526315787604e-01,-8.947368421052631637e-01,-5.903428420424461365e-02
4.736842105263157077e-01,-8.947368421052631637e-01,-3.303785622119903564e-01
5.789473684210526550e-01,-8.947368421052631637e-01,-2.947103977203369141e-01
4.736842105263157077e-01,-7.894736842105263275e-01,-1.462220549583435059e-01
5.789473684210526550e-01,-7.894736842105263275e-01,-9.185957163572311401e-02
-4.736842105263158187e-01,6.842105263157893802e-01,-4.525296390056610107e-03
-5.789473684210526550e-01,7.894736842105261054e-01,-1.200581789016723633e-01
-4.736842105263158187e-01,7.894736842105261054e-01,-1.453565210103988647e-01
-5.789473684210526550e-01,8.947368421052630527e-01,-2.911185622215270996e-01
-4.736842105263158187e-01,8.947368421052630527e-01,-2.842818200588226318e-01
-6.842105263157894912e-01,1.000000000000000000e+00,-1.166778802871704102e-01
-5.789473684210526550e-01,1.000000000000000000e+00,-4.725166559219360352e-01
-4.736842105263158187e-01,1.000000000000000000e+00,-4.168708920478820801e-01
-3.684210526315789824e-01,1.000000000000000000e+00,-3.202279657125473022e-02
