,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,5.6938276,5.571246,5.4502745,5.330908,5.2131424,5.0969744,4.9824023,4.86942,4.7580256,4.648215,4.5399847,4.4333305,4.3282485,4.224736,4.1227894,4.0224037,3.9235759,3.826302,3.730579,3.636402,3.543768,3.452673,3.3631134,3.2750845,3.188581,3.1036003,3.0201364,2.9381845,2.8577392,2.7787952,2.7013485,2.6253924,2.5509233,2.4779348,2.406423,2.3363814,2.2678056,2.2006888,2.135025,2.0708077,2.0080295,1.9466847,1.8867654,1.8282644,1.7711753,1.715491,1.6612046,1.60831,1.556799,1.5066663,1.4579035,1.4105041,1.3644593,1.3197622,1.276404,1.2343761,1.19367,1.1542773,1.1161889,1.0793961,1.04389,1.0096627,0.9767058,0.9450112,0.91457057,0.88537693,0.8574218,0.83069867,0.8051984,0.7809138,0.75783694,0.7359593,0.7152723,0.6957674,0.6774347,0.6602658,0.6442502,0.6293777,0.6156392,0.6030235,0.5915203,0.5811194,0.57181025,0.5635824,0.5564259,0.5503304,0.5452863,0.5412844,0.53831476,0.5363693,0.5354393,0.5355163,0.5365926,0.53866076,0.5417138,0.54574406,0.55074495,0.55671054,0.5636346,0.5715107
1,5.46462,5.345125,5.227225,5.1109147,4.996194,4.8830585,4.771507,4.661534,4.553138,4.446314,4.3410587,4.2373695,4.1352406,4.0346704,3.9356537,3.8381872,3.7422657,3.647887,3.5550468,3.46374,3.3739638,3.2857127,3.1989849,3.1137724,3.030073,2.9478803,2.86719,2.7879963,2.7102926,2.634075,2.559337,2.4860733,2.4142778,2.3439465,2.275072,2.2076504,2.1416743,2.0771387,2.0140371,1.9523623,1.8921078,1.8332665,1.7758309,1.7197943,1.6651489,1.6118883,1.560004,1.5094903,1.4603392,1.412543,1.3660951,1.3209864,1.2772093,1.2347555,1.1936159,1.153782,1.1152449,1.0779954,1.0420249,1.0073236,0.973884,0.94169676,0.9107542,0.88104737,0.85256946,0.82531154,0.7992668,0.7744271,0.7507844,0.7283313,0.70705956,0.68696064,0.668026,0.65024716,0.6336146,0.61811924,0.60375094,0.5905003,0.578357,0.56731087,0.5573513,0.5484684,0.5406521,0.53389156,0.5281771,0.5234995,0.5198486,0.51721525,0.51559067,0.5149665,0.5153342,0.51668584,0.5190138,0.52231115,0.52657044,0.53178513,0.5379495,0.5450567,0.55310106,0.56207657
2,5.2433767,5.126915,5.0120354,4.8987365,4.7870154,4.67687,4.568295,4.4612894,4.3558497,4.2519712,4.14965,4.048883,3.949665,3.851993,3.7558637,3.661271,3.5682125,3.476683,3.3866792,3.2981958,3.2112298,3.125775,3.0418282,2.959383,2.8784354,2.7989793,2.721009,2.6445193,2.5695033,2.4959555,2.4238698,2.3532405,2.2840617,2.2163272,2.150031,2.0851684,2.021732,1.9597152,1.8991126,1.8399162,1.7821194,1.7257148,1.6706951,1.6170522,1.5647793,1.5138688,1.4643133,1.4161049,1.3692365,1.3236997,1.2794865,1.2365888,1.1949979,1.1547052,1.1157014,1.077978,1.0415257,1.0063351,0.97239745,0.9397039,0.9082454,0.8780134,0.849,0.82119644,0.7945956,0.769189,0.7449695,0.7219286,0.7000592,0.679353,0.6598022,0.6413982,0.62413275,0.6079967,0.59298134,0.57907695,0.56627417,0.5545632,0.5439343,0.53437734,0.525882,0.5184382,0.51203626,0.5066658,0.5023174,0.4989813,0.4966488,0.49531054,0.4949577,0.49558282,0.49717724,0.49973345,0.50324476,0.50770295,0.51310235,0.5194367,0.52669936,0.534885,0.54398704,0.554001
3,5.030043,4.916571,4.8046722,4.6943426,4.585581,4.478384,4.3727484,4.268669,4.1661444,4.06517,3.9657412,3.867854,3.771504,3.6766872,3.5833998,3.4916363,3.4013937,3.3126667,3.225451,3.139742,3.0555344,2.9728239,2.8916051,2.8118727,2.7336206,2.6568437,2.5815353,2.50769,2.4352999,2.3643599,2.294864,2.2268043,2.160177,2.0949736,2.0311885,1.968816,1.9078498,1.8482815,1.7901058,1.7333153,1.677902,1.6238592,1.5711784,1.5198524,1.4698737,1.421234,1.3739258,1.3279412,1.2832721,1.2399107,1.1978482,1.1570764,1.1175863,1.0793692,1.042416,1.006717,0.97226334,0.93904614,0.907056,0.876284,0.84672105,0.8183596,0.79119015,0.7652059,0.74039793,0.71675885,0.6942807,0.6729556,0.6527766,0.6337346,0.6158228,0.5990317,0.5833535,0.5687797,0.5553006,0.54290783,0.53159153,0.5213419,0.5121495,0.50400454,0.49689633,0.49081606,0.4857533,0.4816994,0.47864342,0.4765774,0.47549206,0.47537854,0.47622913,0.4780352,0.4807894,0.4844846,0.4891136,0.49466965,0.50114685,0.5085388,0.5168392,0.5260437,0.5361458,0.5471411
4,4.82458,4.7140594,4.6051016,4.4977026,4.39186,4.2875714,4.184833,4.08364,3.9839888,3.8858743,3.7892933,3.694241,3.6007125,3.5087042,3.4182105,3.3292274,3.2417502,3.1557734,3.0712924,2.9883027,2.9067984,2.8267746,2.7482247,2.671144,2.5955267,2.5213652,2.4486542,2.3773873,2.3075562,2.2391565,2.17218,2.1066203,2.0424714,1.9797266,1.9183794,1.8584228,1.7998497,1.7426536,1.6868274,1.6323634,1.5792542,1.5274918,1.4770685,1.4279764,1.380208,1.3337548,1.2886089,1.2447627,1.2022071,1.1609346,1.1209365,1.0822039,1.0447282,1.0084999,0.9735101,0.9397495,0.90720904,0.875879,0.84575117,0.8168156,0.7890645,0.7624892,0.7370807,0.712832,0.68973446,0.66778046,0.6469623,0.62727183,0.6087019,0.5912446,0.5748917,0.55963457,0.5454656,0.53237545,0.52035594,0.5093977,0.4994913,0.49062732,0.48279664,0.4759893,0.4701959,0.46540695,0.46161276,0.45880398,0.45697185,0.4561071,0.45620167,0.45724708,0.45923492,0.46215817,0.4660092,0.47078094,0.47646713,0.48306108,0.49055687,0.49894866,0.5082312,0.518399,0.5294472,0.5413707
5,4.6269426,4.5193324,4.413275,4.308765,4.2058005,4.1043777,4.004492,3.906138,3.8093138,3.7140126,3.6202307,3.527964,3.4372063,3.3479536,3.2602012,3.1739428,3.0891747,3.0058913,2.9240863,2.8437557,2.7648923,2.6874914,2.611547,2.5370522,2.4640007,2.3923864,2.3222027,2.2534423,2.186098,2.120164,2.0556326,1.9924972,1.9307508,1.8703868,1.8113978,1.7537774,1.6975176,1.6426125,1.5890539,1.5368338,1.4859444,1.4363786,1.3881279,1.3411841,1.2955399,1.2511867,1.2081168,1.1663214,1.1257927,1.0865223,1.0485016,1.0117217,0.9761736,0.94184804,0.90873617,0.8768285,0.8461162,0.81658983,0.7882399,0.7610586,0.7350364,0.710165,0.6864363,0.66384244,0.64237493,0.62202644,0.60278904,0.5846549,0.5676166,0.55166566,0.53679514,0.5229958,0.51026,0.4985792,0.48794433,0.47834685,0.46977773,0.46222767,0.4556873,0.4501478,0.44559935,0.44203308,0.43943974,0.43781036,0.43713605,0.43740818,0.43861917,0.44076037,0.44382447,0.4478042,0.45269293,0.45848337,0.46516958,0.47274563,0.48120543,0.49054363,0.5007554,0.51183546,0.523779,0.5365817
6,4.4370604,4.332318,4.2291155,4.1274495,4.027316,3.9287102,3.8316283,3.7360644,3.642015,3.549475,3.4584389,3.3689022,3.280859,3.1943042,3.1092331,3.0256395,2.9435189,2.8628645,2.7836711,2.705933,2.629643,2.5547967,2.4813862,2.4094057,2.338848,2.269707,2.201975,2.1356459,2.0707119,2.007166,1.945001,1.8842096,1.8247855,1.766721,1.7100086,1.6546423,1.6006134,1.5479147,1.4965389,1.4464777,1.3977238,1.3502686,1.3041046,1.2592233,1.2156172,1.1732775,1.1321969,1.0923665,1.0537786,1.0164243,0.980295,0.94538224,0.911677,0.8791701,0.8478521,0.8177148,0.7887478,0.7609426,0.7342902,0.7087817,0.6844083,0.6611618,0.63903385,0.6180167,0.598102,0.5792818,0.56154907,0.5448954,0.5293134,0.51479506,0.50133276,0.48891824,0.47754353,0.46720013,0.4578793,0.4495724,0.44227123,0.4359666,0.43064925,0.42631033,0.42294094,0.42053252,0.41907576,0.41856253,0.418984,0.4203322,0.42259932,0.425778,0.42986092,0.43484074,0.44071114,0.44746608,0.45509902,0.46360502,0.47297803,0.48321283,0.4943051,0.5062499,0.5190426,0.53267884
7,4.254833,4.152911,4.0525155,3.9536428,3.8562882,3.760447,3.6661134,3.5732841,3.4819531,3.392115,3.303765,3.2168975,3.131506,3.0475862,2.9651315,2.8841367,2.804595,2.726501,2.649849,2.5746317,2.5008435,2.4284773,2.3575263,2.287984,2.2198434,2.153098,2.0877404,2.0237627,1.9611583,1.8999195,1.8400398,1.7815115,1.7243271,1.6684792,1.6139607,1.5607638,1.5088814,1.4583054,1.4090279,1.3610411,1.314337,1.2689075,1.2247447,1.1818407,1.1401869,1.099776,1.0605994,1.0226496,0.9859178,0.950396,0.9160751,0.8829469,0.85100204,0.8202317,0.79062706,0.76217854,0.73487735,0.7087143,0.6836805,0.6597667,0.63696533,0.6152674,0.59466434,0.57514834,0.5567117,0.53934634,0.5230445,0.5077989,0.49360126,0.48044422,0.4683198,0.4572201,0.44713688,0.43806222,0.42998782,0.4229055,0.41680592,0.4116811,0.40752238,0.40432134,0.402069,0.4007567,0.40037677,0.40092003,0.4023792,0.40474638,0.4080139,0.4121747,0.417222,0.42314932,0.42995,0.43761846,0.44614893,0.45553592,0.46577466,0.47686005,0.48878747,0.501553,0.51515186,0.5295807
8,4.0801315,3.980976,3.8833327,3.7871969,3.6925635,3.5994277,3.507784,3.4176273,3.3289518,3.2417524,3.156023,3.0717578,2.9889512,2.907597,2.8276887,2.7492208,2.6721866,2.5965798,2.5223937,2.4496224,2.3782582,2.308295,2.2397256,2.172543,2.1067402,2.0423102,1.9792454,1.9175389,1.8571823,1.7981696,1.7404926,1.6841438,1.6291159,1.5754021,1.5229934,1.4718835,1.4220636,1.373526,1.3262632,1.2802668,1.235529,1.1920412,1.1497965,1.108786,1.0690023,1.0304372,0.99308264,0.95693105,0.92197394,0.888203,0.8556099,0.8241857,0.7939221,0.7648095,0.7368396,0.7100028,0.68429035,0.6596931,0.63620234,0.613809,0.5925048,0.57228166,0.5531304,0.53504384,0.5180136,0.5020318,0.4870911,0.47318363,0.46030173,0.4484376,0.43758336,0.42773166,0.41887453,0.41100392,0.40411147,0.39818954,0.39322966,0.38922346,0.3861628,0.38403943,0.38284507,0.38257143,0.3832111,0.3847557,0.38719785,0.39053002,0.3947454,0.3998371,0.4057986,0.41262364,0.42030668,0.42884156,0.43822345,0.44844684,0.45950752,0.47140056,0.48412168,0.49766713,0.51203257,0.5272152
9,3.9127903,3.8163428,3.7213917,3.627931,3.535956,3.4454622,3.3564425,3.2688923,3.1828055,3.0981755,3.014997,2.9332638,2.8529694,2.774107,2.6966717,2.620655,2.546052,2.4728556,2.4010582,2.330654,2.2616353,2.1939955,2.1277277,2.0628242,1.999278,1.9370823,1.876229,1.8167112,1.7585216,1.7016518,1.6460955,1.5918446,1.5388911,1.4872279,1.4368473,1.3877411,1.3399017,1.2933208,1.2479904,1.203903,1.1610498,1.1194229,1.0790149,1.0398178,1.0018232,0.9650241,0.92941225,0.8949798,0.8617188,0.82962114,0.79867816,0.7688815,0.7402225,0.7126922,0.686282,0.6609824,0.6367849,0.6136801,0.5916596,0.5707147,0.5508367,0.53201735,0.5142484,0.4975217,0.48182908,0.4671631,0.453516,0.44088027,0.42924806,0.4186118,0.40896413,0.40029714,0.3926032,0.3858746,0.3801035,0.3752821,0.37140253,0.3684568,0.3664368,0.36533487,0.36514336,0.36585417,0.36746007,0.36995357,0.37332734,0.3775747,0.38268867,0.3886634,0.395492,0.40316918,0.41168934,0.42104715,0.43123752,0.44225603,0.45409793,0.46675938,0.48023564,0.4945237,0.50961983,0.5255203
