x0,x1,min_eig
-1.000000000000000000e+00,-1.000000000000000000e+00,-4.301381409168243408e-01
-8.947368421052631637e-01,-1.000000000000000000e+00,-4.147256851196289062e+00
-7.894736842105263275e-01,-1.000000000000000000e+00,-1.510270595550537109e+00
-6.842105263157894912e-01,-1.000000000000000000e+00,-6.839772462844848633e-01
-5.789473684210526550e-01,-1.000000000000000000e+00,-4.843535423278808594e-01
-4.736842105263158187e-01,-1.000000000000000000e+00,-4.431837201118469238e-01
-3.684210526315789824e-01,-1.000000000000000000e+00,-4.345363974571228027e-01
-2.631578947368421462e-01,-1.000000000000000000e+00,-4.615509212017059326e-01
-1.578947368421053099e-01,-1.000000000000000000e+00,-5.253024697303771973e-01
-5.263157894736847364e-02,-1.000000000000000000e+00,-6.197487115859985352e-01
5.263157894736836262e-02,-1.000000000000000000e+00,-7.442916631698608398e-01
1.578947368421053099e-01,-1.000000000000000000e+00,-9.036674499511718750e-01
2.631578947368420351e-01,-1.000000000000000000e+00,-1.096451997756958008e+00
3.684210526315787604e-01,-1.000000000000000000e+00,-1.305770874023437500e+00
4.736842105263157077e-01,-1.000000000000000000e+00,-1.460983753204345703e+00
5.789473684210526550e-01,-1.000000000000000000e+00,-1.383981108665466309e+00
6.842105263157893802e-01,-1.000000000000000000e+00,-1.269605159759521484e+00
7.894736842105261054e-01,-1.000000000000000000e+00,-3.226439714431762695e+00
8.947368421052630527e-01,-1.000000000000000000e+00,-1.153628921508789062e+01
1.000000000000000000e+00,-1.000000000000000000e+00,-1.162366008758544922e+01
-1.000000000000000000e+00,-8.947368421052631637e-01,-3.361064195632934570e-01
-8.947368421052631637e-01,-8.947368421052631637e-01,-5.303011536598205566e-01
-7.894736842105263275e-01,-8.947368421052631637e-01,-2.127758741378784180e+00
-6.842105263157894912e-01,-8.947368421052631637e-01,-1.369291305541992188e+00
-5.789473684210526550e-01,-8.947368421052631637e-01,-8.543982505798339844e-01
-4.736842105263158187e-01,-8.947368421052631637e-01,-7.024899125099182129e-01
-3.684210526315789824e-01,-8.947368421052631637e-01,-7.082748413085937500e-01
-2.631578947368421462e-01,-8.947368421052631637e-01,-7.528737783432006836e-01
-1.578947368421053099e-01,-8.947368421052631637e-01,-8.066961765289306641e-01
-5.263157894736847364e-02,-8.947368421052631637e-01,-8.706816434860229492e-01
5.263157894736836262e-02,-8.947368421052631637e-01,-9.574394226074218750e-01
1.578947368421053099e-01,-8.947368421052631637e-01,-1.065259099006652832e+00
2.631578947368420351e-01,-8.947368421052631637e-01,-1.173148870468139648e+00
3.684210526315787604e-01,-8.947368421052631637e-01,-1.238151907920837402e+00
4.736842105263157077e-01,-8.947368421052631637e-01,-1.174842596054077148e+00
5.789473684210526550e-01,-8.947368421052631637e-01,-1.029582738876342773e+00
6.842105263157893802e-01,-8.947368421052631637e-01,-1.724603414535522461e+00
