epoch,loss
1,3681.97998046875
2,3273.081298828125
3,2946.93798828125
4,2679.4765625
5,2452.320068359375
6,2253.461669921875
7,2075.8759765625
8,1915.53662109375
9,1770.0013427734375
10,1637.6243896484375
11,1517.147705078125
12,1407.5023193359375
13,1307.71826171875
14,1216.891357421875
15,1134.177734375
16,1058.794677734375
17,990.0231323242188
18,927.2117919921875
19,869.770751953125
20,817.17236328125
21,768.9444580078125
22,724.6644287109375
23,683.95654296875
24,646.483154296875
25,611.9436645507812
26,580.067626953125
27,550.612548828125
28,523.3602905273438
29,498.11468505859375
30,474.6982421875
31,452.951171875
32,432.7287292480469
33,413.89984130859375
34,396.346435546875
35,379.9605712890625
36,364.64532470703125
37,350.3120422363281
38,336.880615234375
39,324.27783203125
40,312.43780517578125
41,301.3000183105469
42,298.5174865722656
43,295.7643127441406
44,293.0404052734375
45,290.3459167480469
46,287.6806640625
47,285.0444030761719
48,282.4369812011719
49,279.8580017089844
50,277.3074035644531
51,274.78472900390625
52,272.2898254394531
53,269.8224182128906
54,267.3821105957031
55,264.9686584472656
56,262.5818786621094
57,260.2214050292969
58,257.886962890625
59,255.57830810546875
60,253.29531860351562
61,251.03775024414062
62,248.8054962158203
63,246.5983428955078
64,244.41619873046875
65,242.25885009765625
66,240.12625122070312
67,238.01832580566406
68,235.9347686767578
69,233.87557983398438
70,231.84054565429688
71,229.8294219970703
72,227.84214782714844
73,225.87832641601562
74,223.9378204345703
75,222.02047729492188
76,220.12586975097656
77,218.25384521484375
78,216.40406799316406
79,214.5763702392578
80,212.77035522460938
81,210.98582458496094
82,210.78958129882812
83,210.5934295654297
84,210.39747619628906
85,210.2017822265625
86,210.0061492919922
87,209.81085205078125
88,209.61561584472656
89,209.42054748535156
90,209.22579956054688
91,209.03111267089844
92,208.83660888671875
93,208.64239501953125
94,208.44827270507812
95,208.25445556640625
96,208.0607452392578
97,207.86734008789062
98,207.67401123046875
99,207.481201171875
100,207.28848266601562
101,207.09603881835938
102,206.90370178222656
103,206.71160888671875
104,206.51968383789062
105,206.3280487060547
106,206.13662719726562
107,205.94544982910156
108,205.75457763671875
109,205.5639190673828
110,205.37344360351562
111,205.18312072753906
112,204.99313354492188
113,204.80332946777344
114,204.61387634277344
115,204.42465209960938
116,204.2355499267578
117,204.04672241210938
118,203.85809326171875
119,203.66976928710938
120,203.48158264160156
